Issuer Name,ISIN,Cpn,Issue Date,Maturity,Currency,Bloomberg ID,01/10/2022,01/11/2022,01/12/2022,01/13/2022,01/14/2022,01/17/2022,01/18/2022,01/19/2022,01/20/2022,01/21/2022,01/24/2022
Canadian Government Bond,CA135087K601,1.5,11/4/2019,2/1/2022,CAD,ZQ4084443,100.065,100.062,100.057,100.046,100.042,100.035,100.03,100.027,100.02,100.032,100.014
Canadian Government Bond,CA135087G328,0.5,10/11/2016,3/1/2022,CAD,QZ8085933,100.038,100.036,100.032,100.028,100.025,100.015,100.01,100.011,100.011,100.014,100.016
Canadian Government Bond,CA135087K866,1.5,1/27/2020,5/1/2022,CAD,ZP6776824,100.349,100.341,100.333,100.32,100.309,100.284,100.269,100.266,100.261,100.269,100.27
Canadian Government Bond,CA135087ZU15,2.75,8/2/2011,6/1/2022,CAD,EI7672138,100.757,100.742,100.734,100.702,100.689,100.651,100.64,100.617,100.613,100.627,100.621
Canadian Government Bond,CA135087UM44,9.25,12/15/1991,6/1/2022,CAD,135087UM4,103.395,103.365,103.334,103.256,103.221,103.168,103.13,103.105,103.038,103.028,103.011
Canadian Government Bond,CA135087L286,0.25,5/4/2020,8/1/2022,CAD,BJ2391222,99.794,99.786,99.776,99.77,99.759,99.719,99.697,99.701,99.714,99.739,99.748
Canadian Government Bond,CA135087G732,1,4/10/2017,9/1/2022,CAD,AN1645463,100.198,100.187,100.174,100.162,100.145,100.094,100.069,100.071,100.081,100.105,100.114
Canadian Government Bond,CA135087L369,0.25,8/17/2020,11/1/2022,CAD,BK9320544,99.552,99.541,99.527,99.52,99.501,99.439,99.409,99.416,99.432,99.47,99.484
Canadian Government Bond,CA135087L773,0.25,10/26/2020,2/1/2023,CAD,BM0896381,99.307,99.301,99.282,99.274,99.251,99.17,99.132,99.14,99.156,99.206,99.222
Canadian Government Bond,CA135087H490,1.75,10/6/2017,3/1/2023,CAD,AP4340406,100.934,100.921,100.9,100.874,100.853,100.755,100.71,100.711,100.709,100.748,100.766
